file	rule_selector	dropped_branch	missing_classes	missing_ids	action
src/css/main/01-foundation.css	.side-preview	.side-preview	side-preview		drop-rule
src/css/main/01-foundation.css	.cards,   .showcase	.showcase	showcase		drop-branch
src/css/main/01-foundation.css	.side-content	.side-content	side-content		drop-rule
src/css/main/01-foundation.css	/* Container (fereastra) */ .top-anime-widget	/* Container (fereastra) */ .top-anime-widget	top-anime-widget		drop-rule
src/css/main/01-foundation.css	/* (titlu) */ .serii-title	/* (titlu) */ .serii-title	serii-title		drop-rule
src/css/main/01-foundation.css	.widget-head	.widget-head	widget-head		drop-rule
src/css/main/01-foundation.css	.widget-subtitle	.widget-subtitle	widget-subtitle		drop-rule
src/css/main/01-foundation.css	/* List */ .top-list	/* List */ .top-list	top-list		drop-rule
src/css/main/01-foundation.css	/* Item */ .top-item	/* Item */ .top-item	top-item		drop-rule
src/css/main/01-foundation.css	/* Imagine */ .thumb	/* Imagine */ .thumb	thumb		drop-rule
src/css/main/01-foundation.css	.thumb img	.thumb img	thumb		drop-rule
src/css/main/01-foundation.css	.badges	.badges	badges		drop-rule
src/css/main/01-foundation.css	.badge-red	.badge-red	badge-red		drop-rule
src/css/main/01-foundation.css	.badge-yellow	.badge-yellow	badge-yellow		drop-rule
src/css/main/01-foundation.css	/* ICON VIZUALIZĂRI (nou) */ .views-2	/* ICON VIZUALIZĂRI (nou) */ .views-2	views-2		drop-rule
src/css/main/01-foundation.css	.views-eye	.views-eye	views-eye		drop-rule
src/css/main/01-foundation.css	.views-eye img	.views-eye img	views-eye		drop-rule
src/css/main/01-foundation.css	/* Elementul serie */ .serie-item	/* Elementul serie */ .serie-item	serie-item		drop-rule
src/css/main/01-foundation.css	.serie-item:hover	.serie-item:hover	serie-item		drop-rule
src/css/main/01-foundation.css	.serie-nume	.serie-nume	serie-nume		drop-rule
src/css/main/01-foundation.css	.serie-episod	.serie-episod	serie-episod		drop-rule
src/css/main/01-foundation.css	.serie-ora	.serie-ora	serie-ora		drop-rule
src/css/main/01-foundation.css	.recent-post-arrow	.recent-post-arrow	recent-post-arrow		drop-rule
src/css/main/01-foundation.css	.recent-post-arrow:hover	.recent-post-arrow:hover	recent-post-arrow		drop-rule
src/css/main/01-foundation.css	.recent-post,   .recent-post::after,   .recent-post-arrow	.recent-post-arrow	recent-post-arrow		drop-branch
src/css/main/01-foundation.css	/* Data */ .stire-data	/* Data */ .stire-data	stire-data		drop-rule
src/css/main/01-foundation.css	/* ===================    Citeste mai multe    =================== */ .citeste-mai-multe	/* ===================    Citeste mai multe    =================== */ .citeste-mai-multe	citeste-mai-multe		drop-rule
src/css/main/01-foundation.css	.citeste-mai-multe:hover	.citeste-mai-multe:hover	citeste-mai-multe		drop-rule
src/css/main/02-hall-of-fame.css	.modal .pay-btn	.modal .pay-btn	pay-btn		drop-rule
src/css/main/02-hall-of-fame.css	/* Shine sweep effect on buttons */ .modal .pay-btn::after	/* Shine sweep effect on buttons */ .modal .pay-btn::after	pay-btn		drop-rule
src/css/main/02-hall-of-fame.css	.modal .pay-btn:hover::after	.modal .pay-btn:hover::after	pay-btn		drop-rule
src/css/main/02-hall-of-fame.css	.modal .pay-btn:hover	.modal .pay-btn:hover	pay-btn		drop-rule
src/css/main/02-hall-of-fame.css	.modal .pay-btn:active	.modal .pay-btn:active	pay-btn		drop-rule
src/css/main/02-hall-of-fame.css	.modal .pay-btn:last-child	.modal .pay-btn:last-child	pay-btn		drop-rule
src/css/main/03-navigation.css	.top-sugestii-panel .ts-row-scores .heart	.top-sugestii-panel .ts-row-scores .heart	heart		drop-rule
src/css/main/04-sidebar-layout.css	.top-anime-widget	.top-anime-widget	top-anime-widget		drop-rule
src/css/main/04-sidebar-layout.css	/* Centrează titlul principal din top. */ .serii-title	/* Centrează titlul principal din top. */ .serii-title	serii-title		drop-rule
src/css/main/05-sidebar-effects.css	.serii-cerute-content > .serii-title, .serii-cerute-content > .top-anime-widget	.serii-cerute-content > .serii-title	serii-title		drop-rule
